Hospital_Name (clean),Hospital Name rev 2,Country
"RS GRHA KEDOYA JAKARTA, JAKARTA BARAT, Indonesia",RS GRHA KEDOYA,Indonesia
"RS MAYAPADA HOSPITAL JAKARTA SELATAN, JAKARTA SELA",MAYAPADA HOSPITAL JAKARTA SELATAN (MHJS),Indonesia
"RS PONDOK INDAH JAKARTA SELATAN, JAKARTA SELATAN,",RS PONDOK INDAH JAKARTA SELATAN,Indonesia
"RS GATOT SUBROTO (PAV. KARTIKA)PAD, JAKARTA PUSAT,",RSPAD GATOT SOEBROTO PAV KARTIKA,Indonesia
"RS MEDISTRA JAKARTA, JAKARTA SELATAN, Indonesia",RS MEDISTRA,Indonesia
"RS MITRA KELUARGA KELAPA GADING, JAKARTA UTARA, In",MITRA KELUARGA KELAPA GADING,Indonesia
"RS MITRA KELUARGA DEPOK, DEPOK, Indonesia",MITRA KELUARGA DEPOK,Indonesia
"RS ADVANCED UROLOGY ASSOCIATES PTE LTD, SINGAPORE,",ADVANCED UROLOGY ASSOCIATES PTE LTD,Singapore
"RS PUTERA BAHAGIA CIREBON, CIREBON, Indonesia",RS PUTERA BAHAGIA CIREBON,Indonesia
"RS MRCCC SILOAM HOSPITALS SEMANGGI, JAKARTA SELATA",MRCCC SILOAM HOSPITAL,Indonesia
"RS MMC JAKARTA, INDONESIA, INDONESIA, INDONESIA, I",RS METROPOLITAN MEDICAL CENTRE (MMC),Indonesia
"RS PANTAI INDAH KAPUK JAKARTA UTARA, JAKARTA UTARA",RS PANTAI INDAH KAPUK,Indonesia
"RS SILOAM HOSPITALS LIPPO VILLAGE, TANGERANG, Indo",SILOAM HOSPITAL LIPPO VILLAGE,Indonesia
"RS BINA HUSADA CIBINONG, BOGOR, Indonesia",RS BINA HUSADA CIBINONG,Indonesia
"RS SILOAM HOSPITALS MAKASSAR, MAKASSAR, Indonesia",SILOAM HOSPITAL MAKASSAR,Indonesia
"RS COLUMBIA ASIA MEDAN, MEDAN, Indonesia",COLUMBIA ASIA MEDAN,Indonesia
"RS MITRA KELUARGA BEKASI BARAT, BEKASI, Indonesia",MITRA KELUARGA BEKASI BARAT,Indonesia
"RS MITRA KELUARGA KEMAYORAN, JAKARTA PUSAT, Indone",MITRA KELUARGA KEMAYORAN,Indonesia
"RS BETHSAIDA HOSPITAL, TANGERANG, Indonesia",BETHSAIDA HOSPITAL,Indonesia
"RS KASIH IBU TEUKU UMAR DENPASAR, DENPASAR, Indone",RS KASIH IBU TEUKU UMAR DENPASAR,Indonesia
"RS MITRA KELUARGA KENJERAN, SURABAYA, Indonesia",MITRA KELUARGA KENJERAN,Indonesia
